iter	Passed	Remaining
0	1	138
1	2	121
2	3	115
3	4	108
4	5	104
5	6	102
6	7	100
7	8	97
8	9	96
9	10	97
10	11	96
11	13	99
12	14	98
13	15	98
14	17	98
15	19	102
16	20	101
17	22	100
18	23	101
19	27	109
20	29	109
21	30	108
22	31	106
23	33	105
24	34	103
25	35	101
26	37	100
27	39	102
28	41	101
29	43	101
30	44	99
31	46	97
32	47	96
33	49	96
34	51	95
35	55	98
36	57	97
37	59	97
38	61	96
39	63	95
40	65	93
41	66	91
42	68	90
43	70	90
44	72	88
45	73	86
46	75	84
47	76	82
48	77	80
49	78	78
50	80	77
51	83	76
52	84	75
53	86	73
54	87	71
55	88	69
56	90	68
57	91	66
58	93	64
59	94	63
60	96	61
61	98	60
62	100	58
63	101	57
64	102	55
65	104	53
66	105	51
67	106	50
68	107	48
69	109	46
70	112	45
71	114	44
72	115	42
73	116	41
74	118	39
75	119	37
76	120	36
77	122	34
78	123	32
79	126	31
80	128	30
81	130	28
82	131	26
83	132	25
84	134	23
85	136	22
86	139	20
87	142	19
88	143	17
89	145	16
90	146	14
91	148	12
92	149	11
93	151	9
94	153	8
95	154	6
96	156	4
97	158	3
98	159	1
99	160	0
